0-1	2.75
1-2	7.80
2-3	11.64
3-4	13.79
4-5	14.20
5-6	13.15
6-7	11.14
7-8	8.72
8-9	6.34
9-10	4.30
10-11	2.73
11-12	1.62
12-13	0.91
13-14	0.48
14-15	0.24
15-16	0.11
16-17	0.05
17-18	0.02
18-19	0.01
19-20	0.00
